,carat,cut,color,clarity,depth,table,price,x,y,z,class
4454,0.57,Ideal,G,VVS2,61.7,54.0,2095,5.32,5.41,3.31,reject
4455,0.62,Premium,H,SI2,61.0,62.0,1159,5.47,5.42,3.32,reject
4456,0.51,Ideal,D,VS2,61.5,57.0,1882,5.14,5.11,3.15,accept
4457,0.4,Very Good,F,IF,62.9,55.0,1261,4.68,4.7,2.95,accept
4458,0.5,Premium,D,SI1,63.0,60.0,1588,5.06,5.03,3.18,reject
4459,1.13,Premium,G,SI1,60.9,60.0,5376,6.76,6.67,4.09,reject
4460,0.46,Good,G,VVS2,60.2,60.5,1245,4.98,5.04,3.02,reject
4461,0.34,Premium,D,VS2,60.4,60.0,805,4.51,4.56,2.74,accept
4462,2.03,Good,I,SI2,63.8,63.0,9651,7.89,7.84,5.02,reject
4463,0.36,Premium,G,SI1,61.8,60.0,689,4.57,4.53,2.81,reject
4464,0.36,Premium,E,SI1,62.2,59.0,756,4.57,4.53,2.83,reject
4465,1.36,Good,E,SI2,58.0,64.0,6397,7.26,7.19,4.19,reject
4466,0.74,Premium,E,VS1,60.0,57.0,3133,5.94,5.89,3.55,accept
4467,0.3,Premium,F,VVS2,61.6,58.0,945,4.35,4.28,2.66,accept
4468,0.92,Good,E,SI2,62.0,64.0,3153,6.2,6.16,3.83,reject
4469,0.47,Very Good,F,SI1,61.1,61.0,1021,4.97,5.01,3.05,reject
4470,2.06,Fair,J,VS1,64.6,58.0,14750,7.91,8.04,5.15,reject
4471,0.56,Ideal,E,VS2,61.9,55.0,1915,5.34,5.29,3.29,accept
4472,0.3,Good,I,SI1,63.3,59.0,394,4.22,4.25,2.68,reject
4473,0.51,Very Good,D,VVS1,59.9,58.0,2834,5.16,5.19,3.1,accept
4474,0.28,Very Good,E,VVS1,61.1,60.0,646,4.17,4.21,2.56,accept
4475,0.41,Ideal,F,SI1,62.8,57.0,969,4.73,4.69,2.96,reject
4476,0.57,Ideal,D,VS2,62.1,56.0,1963,5.34,5.29,3.3,accept
4477,0.32,Premium,H,VS2,60.6,58.0,505,4.44,4.47,2.7,reject
4478,0.34,Ideal,G,VVS2,62.0,56.0,735,4.46,4.48,2.77,reject
4479,0.54,Very Good,F,SI1,60.2,56.0,1404,5.28,5.39,3.21,reject
4480,0.72,Ideal,D,VS2,60.5,57.0,3275,5.81,5.83,3.52,accept
4481,1.07,Ideal,G,SI2,61.1,57.0,4021,6.61,6.65,4.05,reject
4482,0.63,Ideal,D,VS1,61.6,55.0,2440,5.52,5.55,3.41,accept
4483,0.23,Very Good,E,VVS1,61.7,59.0,478,3.97,4.0,2.46,accept
4484,0.32,Ideal,J,IF,62.2,55.0,684,4.44,4.4,2.75,reject
4485,0.91,Premium,D,SI2,62.0,62.0,3403,6.25,6.16,3.85,reject
4486,1.01,Very Good,F,VS2,63.3,56.0,5662,6.36,6.34,4.02,reject
4487,0.3,Ideal,E,VS2,62.6,56.0,658,4.29,4.33,2.7,accept
4488,1.14,Very Good,D,IF,59.1,58.0,18112,6.83,6.9,4.06,reject
4489,0.51,Very Good,F,VS1,62.5,54.0,1751,5.13,5.15,3.21,accept
4490,0.3,Very Good,I,SI1,61.2,58.0,405,4.28,4.31,2.63,reject
4491,0.44,Ideal,E,VS2,61.9,55.0,1003,4.86,4.89,3.02,accept
4492,0.26,Ideal,E,VVS2,60.7,56.0,597,4.13,4.17,2.52,accept
4493,0.36,Premium,D,VS2,61.0,58.0,1094,4.62,4.59,2.81,accept
4494,0.41,Ideal,D,SI1,61.7,54.0,1015,4.79,4.78,2.95,reject
4495,0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,accept
4496,0.71,Ideal,E,VS2,62.1,55.0,3304,5.72,5.75,3.56,accept
4497,1.51,Very Good,H,VVS1,61.5,58.0,12981,7.3,7.39,4.52,reject
4498,0.71,Very Good,E,VVS1,57.9,61.0,3907,5.88,5.96,3.43,accept
4499,0.75,Ideal,D,VS2,62.4,55.0,3456,5.83,5.8,3.63,accept
4500,0.51,Premium,F,VS1,61.4,58.0,1836,5.18,5.15,3.17,accept
4501,0.54,Ideal,F,VS2,64.2,54.0,1837,5.19,5.12,3.31,accept
4502,0.31,Ideal,H,IF,62.2,54.0,789,4.38,4.4,2.73,reject
4503,0.43,Premium,F,VS2,61.0,57.0,968,4.87,4.84,2.96,accept
4504,0.54,Ideal,G,VVS2,61.7,57.0,1914,5.23,5.26,3.23,reject
4505,0.33,Ideal,E,VS2,59.3,58.0,681,4.53,4.51,2.68,accept
4506,0.31,Ideal,G,IF,61.1,57.0,871,4.38,4.42,2.68,reject
4507,0.73,Premium,D,VS2,59.8,58.0,3250,5.89,5.85,3.51,accept
4508,1.03,Ideal,I,SI1,62.2,54.0,4782,6.46,6.5,4.03,reject
4509,0.52,Ideal,E,VVS2,60.9,56.0,2220,5.21,5.24,3.18,accept
4510,0.74,Ideal,G,VVS2,60.7,56.0,3831,5.9,5.88,3.58,reject
4511,0.29,Very Good,F,VVS2,62.7,58.0,664,4.22,4.26,2.66,accept
4512,0.3,Ideal,F,VS2,61.3,55.0,776,4.32,4.3,2.64,accept
4513,1.04,Ideal,F,IF,61.8,55.0,10787,6.49,6.56,4.03,reject
4514,0.47,Good,E,VVS1,65.2,56.0,1613,4.86,4.89,3.18,accept
4515,0.32,Ideal,I,VS2,62.9,57.0,576,4.4,4.37,2.76,reject
4516,0.34,Ideal,D,I1,62.5,57.0,530,4.49,4.47,2.8,reject
4517,0.73,Premium,F,VS2,62.3,60.0,2683,5.77,5.73,3.58,accept
4518,3.01,Fair,I,SI2,65.8,56.0,18242,8.99,8.94,5.9,reject
4519,0.4,Very Good,E,VS2,62.9,59.0,858,4.7,4.75,2.97,accept
4520,0.52,Premium,F,VS2,62.2,58.0,1720,5.17,5.12,3.2,accept
4521,0.5,Very Good,E,VS2,61.1,61.0,1624,5.11,5.13,3.13,accept
4522,0.98,Fair,H,SI1,68.6,58.0,3583,6.18,6.04,4.19,reject
4523,1.3,Ideal,D,SI1,61.8,56.0,9242,6.93,6.96,4.29,reject
4524,0.33,Ideal,F,VS2,62.0,54.2,660,4.42,4.45,2.75,accept
4525,0.35,Very Good,H,VVS2,63.0,55.0,706,4.48,4.5,2.83,reject
4526,1.5,Premium,H,SI2,62.1,59.0,7500,7.28,7.24,4.51,reject
4527,0.55,Ideal,F,VS1,61.9,56.0,1881,5.25,5.29,3.26,accept
4528,1.02,Ideal,H,VVS2,62.1,55.0,6797,6.5,6.46,4.02,reject
4529,0.36,Premium,D,VS2,59.1,58.0,1094,4.68,4.63,2.75,accept
4530,0.7,Premium,F,VVS2,62.5,59.0,3018,5.68,5.61,3.53,accept
4531,0.73,Very Good,E,SI1,63.2,58.0,2821,5.76,5.7,3.62,reject
4532,0.4,Very Good,H,SI1,62.9,56.0,666,4.65,4.7,2.94,reject
4533,0.43,Very Good,I,IF,61.0,56.0,998,4.9,4.93,3.0,reject
4534,0.3,Good,E,VVS2,61.1,61.0,622,4.32,4.36,2.65,accept
4535,0.3,Ideal,F,VS2,62.7,57.0,605,4.27,4.31,2.69,accept
4536,0.5,Ideal,F,VVS2,59.9,58.0,2016,5.14,5.17,3.09,accept
4537,0.33,Ideal,F,VS2,61.6,56.0,854,4.46,4.44,2.74,accept
4538,0.98,Good,F,SI1,56.8,64.0,4226,6.68,6.52,3.75,reject
4539,1.54,Very Good,G,SI2,61.5,61.0,8808,7.35,7.42,4.54,reject
4540,1.04,Premium,I,I1,61.6,61.0,2870,6.47,6.45,3.98,reject
4541,0.31,Ideal,E,VS1,61.4,56.0,804,4.38,4.35,2.68,reject
4542,0.71,Ideal,E,VVS2,62.0,53.9,4042,5.73,5.77,3.57,accept
4543,0.3,Ideal,G,VVS1,60.9,56.8,735,4.34,4.38,2.65,reject
4544,0.4,Ideal,F,VVS2,61.7,55.0,1163,4.76,4.74,2.93,accept
4545,1.0,Premium,F,SI1,61.9,60.0,5544,6.34,6.39,3.94,reject
4546,1.5,Good,G,VS2,63.3,62.0,11577,7.08,7.2,4.52,reject
4547,0.59,Premium,E,VS2,60.8,57.0,2177,5.42,5.37,3.28,accept
4548,0.53,Ideal,I,IF,62.1,55.0,1654,5.18,5.22,3.23,reject
4549,1.03,Ideal,G,VS1,60.8,57.0,7587,6.55,6.57,3.99,reject
4550,0.4,Ideal,E,VVS1,61.5,56.0,1397,4.78,4.75,2.93,accept
4551,1.56,Ideal,F,SI2,61.6,56.0,10210,7.41,7.45,4.58,reject
4552,0.8,Premium,J,VS1,60.8,59.0,2292,6.0,5.94,3.63,reject
4553,0.5,Ideal,F,VS2,61.1,58.0,1565,5.1,5.13,3.13,accept
4554,0.31,Premium,F,VS2,59.7,60.0,802,4.42,4.39,2.63,accept
4555,0.52,Very Good,H,VS2,63.5,58.0,1389,5.08,5.09,3.23,reject
4556,0.31,Ideal,D,IF,61.1,56.0,1251,4.39,4.42,2.69,accept
4557,1.6,Very Good,G,VS2,61.0,57.0,14383,7.55,7.59,4.62,reject
4558,0.33,Premium,D,VVS1,61.8,58.0,1207,4.43,4.4,2.73,accept
4559,0.72,Ideal,F,VVS1,61.7,56.0,3795,5.73,5.77,3.55,accept
4560,0.42,Premium,G,VS2,62.0,58.0,847,4.77,4.81,2.97,reject
4561,1.52,Premium,I,SI2,59.8,62.0,8010,7.47,7.41,4.45,reject
4562,0.29,Ideal,E,IF,61.9,57.0,815,4.25,4.29,2.64,accept
4563,1.06,Premium,F,SI1,61.0,58.0,5236,6.65,6.6,4.04,reject
4564,0.29,Ideal,G,IF,62.0,56.0,673,4.23,4.27,2.63,reject
4565,0.63,Ideal,J,SI2,61.4,54.0,1065,5.54,5.56,3.41,reject
4566,1.06,Good,G,VS1,63.4,57.0,6477,6.45,6.48,4.1,reject
4567,0.62,Ideal,F,VS1,62.0,54.0,2406,5.46,5.5,3.4,accept
4568,0.56,Ideal,H,SI1,61.9,58.0,1343,5.27,5.3,3.27,reject
4569,0.3,Ideal,F,VVS1,61.7,56.0,857,4.33,4.35,2.68,accept
4570,0.57,Premium,E,VS2,61.4,58.0,1851,5.32,5.37,3.28,accept
4571,2.0,Good,H,SI2,63.8,59.0,12554,7.93,7.88,5.04,reject
4572,0.7,Ideal,F,VS2,60.8,57.0,2956,5.75,5.77,3.5,accept
4573,0.76,Ideal,G,VS1,61.3,54.0,3648,5.88,5.94,3.62,reject
4574,0.31,Very Good,G,VS1,63.0,57.0,625,4.28,4.32,2.71,reject
4575,0.23,Very Good,D,VVS1,63.3,57.0,478,3.9,3.93,2.48,accept
4576,0.31,Ideal,E,VVS2,61.6,55.0,1046,4.38,4.35,2.69,accept
4577,0.34,Ideal,D,VS1,60.7,57.0,961,4.55,4.51,2.75,reject
4578,1.01,Ideal,D,VS2,62.7,57.0,7792,6.39,6.36,4.0,reject
4579,0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,reject
4580,0.7,Very Good,E,SI2,61.5,59.0,2464,5.7,5.74,3.52,reject
4581,0.46,Ideal,E,VVS2,62.6,55.0,1736,4.95,4.92,3.09,accept
4582,0.3,Ideal,E,VS2,61.6,56.0,658,4.27,4.3,2.64,accept
4583,1.09,Very Good,E,SI1,62.8,56.0,5771,6.53,6.6,4.12,reject
4584,0.54,Premium,F,VS1,61.8,59.0,1649,5.16,5.23,3.21,accept
4585,0.24,Very Good,F,VS2,61.9,59.0,419,3.98,4.0,2.47,accept
4586,0.51,Ideal,E,VS2,61.7,53.0,1709,5.2,5.18,3.2,accept
4587,0.7,Very Good,F,SI1,59.8,59.0,2161,5.78,5.82,3.47,reject
4588,0.3,Premium,G,VVS1,62.7,59.0,1013,4.27,4.22,2.66,reject
4589,1.01,Good,G,VS2,63.1,55.0,5199,6.36,6.38,4.02,reject
4590,0.33,Premium,G,VS1,61.6,60.0,854,4.46,4.41,2.73,reject
4591,0.3,Ideal,E,VVS2,61.9,57.0,789,4.28,4.31,2.66,accept
4592,0.77,Premium,E,SI2,59.8,56.0,2723,6.01,5.96,3.58,reject
4593,0.7,Ideal,E,SI1,60.2,58.0,2617,5.75,5.78,3.47,reject
4594,0.32,Ideal,D,VS2,61.9,55.0,758,4.41,4.44,2.74,accept
4595,0.52,Premium,G,VS2,62.4,56.0,1577,5.19,5.16,3.23,reject
4596,2.05,Premium,I,VS2,60.8,58.0,16896,8.26,8.19,5.0,reject
4597,0.95,Very Good,E,SI1,61.6,56.0,4738,6.31,6.36,3.9,reject
4598,0.29,Very Good,F,VVS2,60.2,58.0,664,4.29,4.35,2.6,accept
4599,0.71,Ideal,D,VS2,60.4,57.0,3135,5.77,5.82,3.5,accept
4600,0.53,Ideal,G,VVS2,61.0,56.0,1946,5.21,5.25,3.19,reject
4601,0.37,Ideal,D,VS2,61.0,56.0,876,4.65,4.7,2.85,accept
4602,0.52,Very Good,E,VS2,61.5,58.0,1625,5.18,5.24,3.2,accept
4603,0.7,Premium,G,SI2,62.0,59.0,1966,5.62,5.58,3.47,reject
4604,1.51,Ideal,E,SI2,62.5,57.0,10210,7.29,7.34,4.57,reject
4605,0.56,Premium,E,VS1,60.1,61.0,1882,5.38,5.31,3.21,accept
4606,1.7,Premium,H,VS2,61.9,60.0,12992,7.61,7.57,4.7,reject
4607,1.01,Premium,D,SI1,62.6,58.0,5543,6.44,6.33,4.0,reject
4608,0.51,Ideal,D,VVS2,61.3,57.0,2742,5.17,5.14,3.16,accept
4609,0.24,Very Good,F,VS1,59.3,57.0,393,4.07,4.12,2.43,reject
4610,0.59,Ideal,D,VS2,61.7,56.0,2078,5.39,5.41,3.33,accept
4611,0.53,Ideal,G,VVS2,60.6,56.0,1932,5.25,5.28,3.19,reject
4612,0.3,Ideal,F,VS2,60.9,56.0,605,4.32,4.35,2.64,accept
4613,0.56,Ideal,D,SI2,60.0,58.0,1568,5.42,5.38,3.24,reject
4614,0.3,Ideal,F,IF,61.4,57.0,886,4.34,4.36,2.67,accept
4615,0.49,Ideal,E,VS2,61.3,55.0,1609,5.11,5.13,3.14,accept
4616,0.51,Ideal,E,VVS1,62.0,57.0,2527,5.12,5.14,3.18,accept
4617,0.31,Good,G,VS1,63.7,56.0,625,4.27,4.3,2.73,reject
4618,0.31,Ideal,D,SI1,62.9,57.0,732,4.32,4.27,2.7,reject
4619,0.41,Good,E,SI1,63.2,58.0,705,4.68,4.72,2.97,reject
4620,0.47,Ideal,D,VS1,60.5,57.0,2086,5.04,5.07,3.06,reject
4621,0.7,Ideal,F,VS2,62.7,55.0,3011,5.66,5.69,3.56,accept
4622,1.2,Very Good,H,SI1,61.6,61.0,6350,6.81,6.77,4.18,reject
4623,0.7,Premium,H,VS2,61.8,60.0,2330,5.68,5.71,3.52,reject
4624,0.53,Very Good,F,VVS2,61.4,57.0,2175,5.2,5.22,3.2,accept
4625,0.31,Ideal,D,VS2,62.1,54.0,734,4.33,4.37,2.7,accept
4626,0.28,Very Good,F,IF,62.2,55.0,612,4.23,4.26,2.64,accept
4627,0.31,Ideal,D,VS2,62.1,54.0,734,4.33,4.37,2.7,accept
4628,0.28,Ideal,D,VVS2,61.1,55.0,827,4.23,4.28,2.6,accept
4629,1.26,Fair,D,SI2,64.5,59.0,4746,6.75,6.71,4.34,reject
4630,0.4,Premium,F,VS1,61.4,58.0,982,4.73,4.75,2.91,reject
4631,0.71,Ideal,E,VS2,61.6,56.0,3381,5.71,5.75,3.53,accept
4632,0.32,Ideal,E,SI1,61.9,56.0,720,4.43,4.39,2.73,reject
4633,1.0,Good,F,VS2,63.4,56.0,5505,6.27,6.35,4.0,reject
4634,0.41,Ideal,G,VS2,61.4,55.0,827,4.75,4.8,2.93,reject
4635,0.38,Ideal,E,VVS1,61.9,56.0,1327,4.67,4.64,2.88,accept
4636,0.43,Ideal,D,VS1,62.1,56.0,1264,4.87,4.85,3.02,reject
4637,0.31,Ideal,D,VS2,62.2,55.0,734,4.31,4.34,2.69,accept
4638,0.32,Ideal,F,VS2,61.1,57.0,828,4.47,4.44,2.72,accept
4639,1.13,Ideal,D,SI1,61.8,56.0,5829,6.68,6.74,4.15,reject
4640,0.53,Premium,E,VS2,59.8,58.0,1813,5.27,5.26,3.15,accept
4641,0.52,Very Good,F,VS1,63.2,57.0,1748,5.09,5.1,3.22,accept
4642,0.41,Premium,F,VS2,62.4,56.0,1107,4.77,4.75,2.97,accept
4643,0.25,Very Good,F,VVS2,62.4,55.0,633,4.03,4.06,2.52,accept
4644,0.74,Ideal,F,VVS2,61.5,54.0,3101,5.84,5.86,3.6,accept
4645,0.6,Very Good,H,VS1,60.2,60.0,1679,5.45,5.48,3.29,reject
4646,0.3,Very Good,D,VVS2,59.0,59.0,729,4.4,4.42,2.6,accept
4647,0.6,Ideal,D,VS2,61.4,53.0,2473,5.45,5.5,3.36,accept
4648,0.7,Premium,E,VVS2,61.0,59.0,3389,5.64,5.71,3.5,accept
4649,0.52,Premium,G,SI1,58.6,62.0,1092,5.28,5.24,3.08,reject
4650,1.63,Ideal,I,SI1,61.3,56.0,9694,7.64,7.56,4.66,reject
4651,0.61,Ideal,E,VS1,62.2,56.0,2214,5.43,5.41,3.37,accept
4652,0.32,Premium,G,VS1,62.8,58.0,828,4.39,4.34,2.74,reject
4653,0.3,Good,F,VVS2,66.0,55.0,613,4.19,4.21,2.77,accept
4654,0.3,Ideal,D,VS2,62.0,56.0,710,4.33,4.35,2.69,accept
4655,1.02,Very Good,E,SI2,63.6,59.0,3947,6.23,6.28,3.98,reject
4656,0.32,Very Good,F,VVS1,61.6,56.0,886,4.37,4.41,2.7,accept
4657,0.5,Very Good,F,VS2,63.0,55.0,1436,5.04,5.09,3.19,accept
4658,1.22,Very Good,D,SI2,62.2,58.0,5721,6.85,6.91,4.28,reject
4659,0.43,Ideal,E,VVS1,61.0,57.0,1827,4.85,4.88,2.97,accept
4660,0.32,Ideal,F,VS2,62.8,53.0,828,4.38,4.34,2.74,accept
4661,0.35,Ideal,E,VS2,62.0,57.0,767,4.51,4.55,2.81,accept
4662,1.14,Ideal,E,VVS2,62.3,55.0,10512,6.68,6.71,4.17,accept
4663,0.4,Premium,D,SI2,63.0,59.0,798,4.69,4.64,2.94,reject
4664,0.24,Very Good,E,VVS2,60.3,58.0,552,4.03,4.06,2.44,accept
4665,0.35,Premium,H,VVS1,61.2,60.0,1024,4.54,4.51,2.77,reject
4666,1.12,Premium,J,SI2,60.7,61.0,3266,6.71,6.64,4.05,reject
4667,0.34,Ideal,G,IF,61.5,55.0,974,4.51,4.53,2.78,reject
4668,0.34,Ideal,E,VS2,62.2,55.0,745,4.48,4.49,2.79,accept
4669,0.73,Premium,F,VS1,61.9,56.0,2961,5.81,5.76,3.58,accept
4670,0.51,Ideal,F,VVS2,61.2,56.0,2203,5.19,5.17,3.17,accept
4671,0.4,Ideal,D,VS2,61.6,57.0,1050,4.77,4.71,2.92,accept
4672,0.33,Very Good,F,VVS1,62.0,56.0,912,4.43,4.46,2.75,accept
4673,1.2,Very Good,I,SI1,62.9,54.0,5955,6.75,6.77,4.25,reject
4674,0.92,Ideal,F,SI1,62.8,56.0,4232,6.14,6.18,3.87,reject
4675,0.24,Ideal,G,VVS1,62.0,55.0,559,4.01,4.03,2.49,reject
4676,0.31,Ideal,E,VS2,61.7,55.0,642,4.35,4.37,2.69,accept
4677,0.51,Ideal,E,VS2,62.1,54.0,1608,5.13,5.15,3.19,accept
4678,0.51,Premium,F,SI1,59.7,59.0,1406,5.2,5.15,3.09,reject
4679,0.29,Fair,D,VS2,64.7,62.0,592,4.14,4.11,2.67,accept
4680,1.81,Fair,J,I1,68.0,57.0,5859,7.43,7.39,5.04,reject
4681,0.5,Ideal,E,VS2,62.3,57.0,1676,5.08,5.04,3.15,accept
4682,0.55,Premium,E,SI1,60.8,58.0,1698,5.32,5.29,3.22,reject
4683,0.31,Very Good,F,VS2,62.9,58.0,625,4.27,4.31,2.7,accept
4684,2.2,Very Good,H,SI2,63.3,57.0,11088,8.28,8.17,5.21,reject
4685,0.72,Premium,G,VS2,62.4,57.0,2441,5.73,5.72,3.57,reject
4686,2.0,Very Good,I,VS2,63.1,60.0,17084,7.95,7.99,5.03,reject
4687,0.41,Ideal,I,VVS1,61.8,55.0,1107,4.79,4.76,2.95,reject
4688,0.38,Very Good,H,VS2,61.5,55.0,645,4.66,4.67,2.86,reject
4689,0.53,Ideal,F,VS1,62.3,55.0,1812,5.18,5.22,3.24,accept
4690,0.74,Ideal,F,VS2,62.1,56.0,3171,5.79,5.83,3.61,accept
4691,0.31,Premium,H,VVS2,62.6,60.0,802,4.33,4.29,2.7,reject
4692,0.72,Ideal,D,VS1,61.6,56.0,3554,5.8,5.73,3.55,accept
4693,0.36,Ideal,D,SI1,61.6,56.0,801,4.59,4.6,2.83,reject
4694,0.58,Ideal,F,VS1,60.4,57.0,2245,5.42,5.37,3.26,accept
4695,0.32,Ideal,F,VS2,61.3,57.0,645,4.37,4.4,2.69,accept
4696,0.54,Premium,F,VS1,61.8,59.0,1773,5.23,5.16,3.21,accept
4697,0.32,Ideal,E,VS2,62.1,55.0,702,4.39,4.43,2.74,accept
4698,0.35,Ideal,E,VS2,63.5,54.0,722,4.48,4.43,2.83,accept
4699,0.64,Ideal,F,VS1,61.9,56.8,2222,5.55,5.6,3.45,accept
4700,0.39,Ideal,D,VVS2,60.0,56.0,1018,4.77,4.79,2.87,accept
4701,1.05,Very Good,E,SI2,62.3,56.0,4851,6.47,6.54,4.05,reject
4702,0.35,Very Good,G,VS1,60.7,61.0,706,4.54,4.58,2.77,reject
4703,0.72,Premium,G,VS1,61.7,59.0,2685,5.71,5.66,3.51,reject
4704,0.32,Ideal,F,IF,60.9,56.0,949,4.42,4.44,2.7,accept
4705,0.58,Ideal,F,VS2,60.6,55.0,1798,5.4,5.43,3.28,accept
4706,0.25,Very Good,E,VS2,59.7,61.0,409,4.08,4.1,2.44,accept
4707,0.24,Very Good,F,VVS1,59.4,60.0,478,4.04,4.08,2.41,accept
4708,0.71,Ideal,F,VS1,62.1,57.0,3066,5.73,5.76,3.57,accept
4709,0.4,Good,E,SI1,63.7,56.0,882,4.69,4.66,2.98,reject
4710,0.33,Ideal,F,VVS1,62.6,54.0,880,4.44,4.47,2.79,accept
4711,0.51,Ideal,D,VVS2,62.0,55.0,2145,5.13,5.16,3.19,accept
4712,0.38,Very Good,F,VVS1,63.8,58.0,1030,4.58,4.61,2.93,accept
4713,0.59,Ideal,D,VVS1,62.3,54.0,3791,5.36,5.39,3.35,accept
4714,1.51,Very Good,I,VS1,63.0,59.0,9343,7.28,7.3,4.59,reject
4715,0.29,Very Good,F,VVS1,60.5,57.0,731,4.31,4.34,2.61,accept
4716,1.01,Very Good,J,VVS2,63.7,57.0,5067,6.31,6.35,4.03,reject
4717,0.54,Ideal,D,VS1,61.6,54.0,1987,5.24,5.25,3.23,accept
4718,0.3,Ideal,F,SI1,60.6,57.0,609,4.34,4.37,2.64,reject
4719,0.9,Premium,G,SI1,62.2,60.0,3734,6.1,6.16,3.81,reject
4720,0.31,Ideal,D,VS2,61.8,55.0,942,4.37,4.33,2.69,accept
4721,0.39,Premium,G,SI1,61.4,56.0,936,4.75,4.7,2.9,reject
4722,0.7,Ideal,G,VS2,62.3,57.0,2723,5.65,5.68,3.53,reject
4723,0.33,Ideal,F,VS2,62.6,55.0,666,4.4,4.42,2.76,accept
4724,1.24,Ideal,F,SI2,61.4,58.0,6503,6.85,6.9,4.22,reject
4725,0.31,Good,F,VS2,63.7,59.0,749,4.31,4.26,2.73,accept
4726,0.35,Very Good,H,SI1,61.3,55.0,504,4.55,4.58,2.8,reject
4727,0.47,Very Good,F,VS2,59.6,58.1,1226,5.07,5.11,3.03,accept
4728,0.33,Ideal,D,VS2,61.7,55.0,724,4.46,4.48,2.76,accept
4729,0.38,Ideal,E,VVS2,62.2,56.0,1176,4.65,4.58,2.87,accept
4730,0.72,Ideal,I,VS1,62.1,55.0,2430,5.73,5.76,3.56,reject
4731,0.35,Ideal,F,VVS2,61.9,54.0,795,4.55,4.59,2.83,accept
4732,0.46,Ideal,H,SI1,61.2,56.0,1039,4.99,5.04,3.07,reject
4733,0.31,Ideal,E,VS2,61.5,56.0,680,4.34,4.37,2.68,accept
4734,1.11,Ideal,J,VS1,61.3,55.0,5012,6.65,6.75,4.11,reject
4735,0.4,Very Good,F,SI1,62.1,60.0,756,4.66,4.7,2.91,reject
4736,0.75,Premium,E,VS2,59.9,61.0,3108,5.97,5.91,3.56,accept
4737,1.12,Very Good,G,IF,60.9,57.0,8962,6.68,6.79,4.1,reject
4738,0.3,Ideal,D,SI2,60.2,56.0,574,4.4,4.37,2.64,reject
4739,0.34,Ideal,D,VS1,60.7,57.0,749,4.51,4.55,2.75,reject
4740,0.9,Very Good,J,SI1,63.4,54.0,2834,6.17,6.14,3.9,reject
4741,1.01,Premium,F,VS2,61.7,58.0,6416,6.42,6.48,3.98,reject
4742,0.3,Ideal,G,IF,60.9,58.0,863,4.32,4.35,2.64,reject
4743,0.41,Ideal,F,VS2,61.0,57.0,863,4.76,4.81,2.92,accept
4744,1.01,Premium,E,SI2,62.6,57.0,4751,6.35,6.33,3.97,reject
4745,0.51,Ideal,E,SI2,63.0,56.0,1170,5.14,5.12,3.23,reject
4746,1.0,Premium,D,VS2,62.9,57.0,5174,6.37,6.32,3.99,reject
4747,0.3,Ideal,E,VS2,62.4,57.0,844,4.33,4.29,2.69,accept
4748,0.7,Premium,E,SI2,61.8,58.0,2037,5.73,5.7,3.53,reject
4749,0.55,Ideal,G,VS1,60.9,56.0,1591,5.29,5.35,3.24,reject
4750,1.04,Premium,F,VVS2,59.2,58.0,8722,6.68,6.66,3.95,reject
4751,0.31,Ideal,F,VS2,61.6,55.0,757,4.38,4.39,2.7,accept
4752,1.07,Ideal,E,SI2,61.4,57.0,5393,6.62,6.57,4.05,reject
4753,0.31,Ideal,D,VVS2,61.5,56.0,828,4.39,4.43,2.71,accept
4754,1.52,Ideal,F,VS2,62.9,53.0,15792,7.36,7.31,4.61,reject
4755,0.9,Very Good,F,VS1,61.5,55.0,5167,6.25,6.28,3.85,reject
4756,0.52,Ideal,F,VS2,61.1,56.0,1625,5.19,5.23,3.18,accept
4757,0.36,Ideal,E,VS2,61.9,56.0,1013,4.59,4.56,2.83,accept
4758,0.62,Fair,F,IF,60.1,61.0,2861,5.53,5.56,3.33,accept
4759,0.48,Ideal,E,VVS2,60.7,56.0,2102,5.04,5.08,3.07,accept
4760,0.7,Good,F,VS1,59.1,62.0,2877,5.82,5.86,3.44,accept
4761,1.3,Ideal,G,VS2,62.3,55.0,9540,7.0,6.93,4.34,reject
4762,0.32,Ideal,D,VS2,61.0,56.0,972,4.46,4.42,2.71,accept
4763,0.96,Ideal,F,VS1,61.2,56.0,5666,6.38,6.34,3.89,reject
4764,1.01,Good,I,VS1,59.0,63.5,5056,6.5,6.57,3.86,reject
4765,0.31,Ideal,E,IF,61.3,58.0,1002,4.37,4.4,2.69,accept
4766,0.6,Good,F,VS2,58.8,60.7,1940,5.52,5.55,3.25,accept
4767,0.9,Good,E,VS1,59.3,56.0,5356,6.27,6.32,3.73,reject
4768,0.24,Ideal,F,VVS2,61.8,56.0,552,3.97,4.02,2.47,accept
4769,0.71,Premium,G,VS2,61.9,62.0,2694,5.72,5.69,3.53,reject
4770,0.33,Ideal,D,VS2,62.3,57.0,1002,4.45,4.41,2.76,accept
4771,1.12,Ideal,E,SI2,60.9,57.0,3864,6.66,6.6,4.04,reject
4772,0.3,Very Good,F,VS2,58.8,60.0,524,4.37,4.41,2.58,accept
4773,0.26,Very Good,G,VVS1,61.2,56.0,545,4.1,4.13,2.52,reject
4774,0.37,Ideal,D,VVS2,61.6,56.0,1071,4.61,4.65,2.85,accept
