,carat,cut,color,clarity,depth,table,price,x,y,z
4397,3.04,Premium,I,SI2,59.3,60.0,18559,9.51,9.46,5.62
4398,0.52,Ideal,E,SI2,61.0,57.0,1412,5.18,5.21,3.17
4399,1.22,Ideal,F,VVS1,62.0,54.0,13539,6.88,6.9,4.27
4400,1.35,Ideal,G,VS1,61.5,56.0,10193,7.12,7.15,4.39
4401,1.03,Very Good,F,SI2,63.3,59.0,3692,6.35,6.32,4.01
4402,0.93,Premium,J,VS1,60.3,58.0,3062,6.37,6.31,3.82
4403,0.41,Premium,E,SI1,58.8,62.0,852,4.87,4.85,2.86
4404,1.5,Good,G,I1,57.4,62.0,3179,7.56,7.39,4.29
4405,1.3,Ideal,D,VVS1,61.6,55.7,15535,6.98,7.02,4.31
4406,1.21,Very Good,D,VVS2,62.4,56.0,13630,6.76,6.83,4.24
4407,0.65,Very Good,I,VVS2,61.3,59.3,1828,5.52,5.59,3.4
4408,0.51,Ideal,G,SI1,61.9,56.0,1321,5.11,5.17,3.17
4409,0.36,Ideal,I,VVS2,61.5,57.0,655,4.55,4.58,2.8
4410,0.38,Ideal,E,VS1,62.1,56.0,1000,4.62,4.65,2.88
4411,0.7,Premium,H,VS1,62.3,60.0,2333,5.65,5.61,3.51
4412,1.36,Good,G,SI1,63.8,55.0,7639,6.97,6.94,4.44
4413,0.52,Very Good,H,SI1,63.1,57.0,1219,5.14,5.09,3.23
4414,0.41,Ideal,G,VS2,61.6,54.0,900,4.81,4.84,2.97
4415,0.7,Very Good,E,SI1,62.7,55.0,2575,5.63,5.67,3.54
4416,0.7,Good,F,SI1,64.3,62.0,1878,5.55,5.49,3.55
4417,0.32,Ideal,H,VVS1,61.9,56.0,730,4.38,4.41,2.72
4418,0.76,Premium,E,SI2,61.5,58.0,2688,5.86,5.81,3.59
4419,0.31,Premium,G,VS2,59.2,60.0,698,4.47,4.42,2.63
4420,0.83,Ideal,G,SI2,62.4,54.0,2751,6.01,6.08,3.77
4421,1.22,Very Good,G,VS2,62.3,58.0,8340,6.79,6.82,4.24
4422,0.35,Ideal,E,VS1,61.9,56.0,1063,4.53,4.51,2.8
4423,1.35,Ideal,G,VVS2,61.5,55.0,13230,7.11,7.16,4.39
4424,1.18,Good,G,SI1,64.2,62.0,4678,6.6,6.51,4.25
4425,1.24,Very Good,G,VS2,61.5,58.0,7660,6.89,6.94,4.25
4426,1.01,Very Good,F,VS2,62.9,56.0,5902,6.38,6.41,4.02
4427,0.55,Ideal,I,VS2,61.3,54.0,1216,5.28,5.36,3.26
4428,0.81,Good,D,SI1,63.9,58.0,3179,5.9,5.85,3.75
4429,0.34,Ideal,H,VS2,61.8,55.0,517,4.49,4.51,2.78
4430,0.71,Good,I,VS2,64.2,58.0,2028,5.52,5.57,3.56
4431,0.9,Ideal,I,VS1,62.4,56.0,3867,6.14,6.19,3.85
4432,0.91,Good,F,SI1,58.0,57.0,4067,6.36,6.47,3.72
4433,0.31,Good,H,VS1,63.6,55.0,544,4.29,4.32,2.74
4434,1.69,Ideal,H,I1,62.0,56.0,6757,7.66,7.61,4.73
4435,0.7,Premium,F,SI1,60.1,56.0,2394,5.84,5.78,3.49
4436,1.2,Good,D,SI1,63.5,55.0,5913,6.7,6.78,4.28
4437,2.31,Premium,H,SI2,59.2,61.0,13831,8.65,8.57,5.1
4438,1.51,Very Good,G,SI2,60.5,54.6,8637,7.36,7.4,4.46
4439,0.34,Premium,H,VVS1,61.2,60.0,775,4.46,4.5,2.74
4440,0.31,Ideal,H,SI1,62.1,54.0,464,4.37,4.39,2.72
4441,0.35,Ideal,D,VS1,61.0,56.0,1065,4.53,4.58,2.78
4442,1.52,Ideal,H,VS2,60.7,56.0,11206,7.49,7.41,4.52
4443,1.0,Very Good,D,SI1,60.1,60.0,4697,6.47,6.55,3.91
4444,1.2,Very Good,I,SI1,61.7,56.0,4785,6.82,6.76,4.19
4445,1.0,Very Good,F,VS1,59.8,58.0,7710,6.49,6.53,3.89
4446,0.9,Very Good,G,SI2,62.2,60.0,3256,6.09,6.2,3.82
4447,1.09,Premium,D,SI2,61.2,60.0,5258,6.64,6.6,4.05
4448,1.51,Good,H,SI2,63.1,60.0,7723,7.23,7.28,4.58
4449,0.71,Good,G,VS2,64.2,58.0,2623,5.62,5.59,3.6
4450,0.31,Premium,H,VS1,59.7,58.0,544,4.41,4.43,2.64
4451,0.37,Ideal,F,VS1,61.1,57.0,811,4.61,4.65,2.83
4452,1.03,Fair,E,I1,78.2,54.0,1262,5.72,5.59,4.42
4453,0.41,Premium,I,VVS1,61.5,59.0,863,4.75,4.81,2.94
4454,0.72,Ideal,J,SI2,61.7,55.0,1926,5.77,5.81,3.57
4455,1.32,Ideal,G,VVS2,61.6,56.0,13261,7.03,7.08,4.35
4456,2.22,Ideal,J,VS1,61.8,59.0,16689,8.34,8.37,5.16
4457,0.3,Premium,G,VS1,62.1,60.0,776,4.3,4.24,2.65
4458,0.91,Very Good,E,SI2,63.2,56.0,4668,6.08,6.14,3.86
4459,1.18,Premium,E,I1,62.5,58.0,3965,6.75,6.62,4.18
4460,0.9,Ideal,G,SI2,62.4,57.0,2968,6.16,6.13,3.84
4461,0.3,Very Good,F,SI2,63.3,55.0,506,4.33,4.29,2.73
4462,0.71,Ideal,G,VVS2,60.7,57.0,2843,5.81,5.78,3.52
4463,0.41,Ideal,G,VS1,61.7,57.0,899,4.78,4.81,2.96
4464,0.52,Ideal,G,SI2,62.1,56.0,1210,5.13,5.18,3.2
4465,1.55,Ideal,G,SI2,60.7,55.0,9530,7.54,7.51,4.57
4466,0.97,Ideal,G,SI2,62.7,57.0,4101,6.31,6.28,3.95
4467,1.02,Very Good,E,VS2,63.2,60.0,6580,6.34,6.29,3.99
4468,0.9,Very Good,F,SI2,63.1,56.0,3457,6.18,6.12,3.88
4469,0.73,Very Good,F,SI1,61.3,56.0,3023,5.78,5.84,3.56
4470,1.02,Ideal,H,SI2,60.5,57.0,4297,6.52,6.56,3.95
4471,0.4,Very Good,G,SI2,63.2,56.0,765,4.73,4.7,2.98
4472,1.08,Very Good,D,VS1,60.2,58.0,9168,6.61,6.67,4.0
4473,0.7,Ideal,G,SI1,62.4,56.0,2478,5.66,5.69,3.54
4474,2.22,Good,I,SI1,57.8,58.0,17151,8.58,8.54,4.95
4475,1.16,Very Good,I,SI1,62.7,57.0,4785,6.67,6.76,4.21
4476,0.76,Ideal,H,VS2,62.7,57.0,2668,5.82,5.86,3.66
4477,0.72,Very Good,E,SI1,62.6,59.0,2474,5.66,5.71,3.56
4478,0.7,Good,H,SI1,61.9,62.0,2088,5.57,5.61,3.46
4479,1.2,Ideal,H,VS1,60.8,58.0,7473,6.85,6.91,4.18
4480,0.72,Very Good,H,SI1,63.7,57.0,2168,5.66,5.7,3.62
4481,2.09,Premium,H,SI1,60.5,61.0,12063,8.32,8.25,5.01
4482,1.0,Premium,D,VS2,61.2,61.0,6303,6.39,6.35,3.9
4483,0.51,Ideal,G,VVS2,61.3,56.0,1902,5.16,5.19,3.17
4484,0.51,Very Good,D,SI1,62.2,58.0,1398,5.08,5.11,3.17
4485,1.01,Ideal,G,VS2,62.1,58.0,6587,6.38,6.43,3.98
4486,0.31,Very Good,G,VS2,60.7,61.0,544,4.33,4.37,2.64
4487,0.32,Ideal,G,IF,61.3,54.0,918,4.41,4.47,2.72
4488,0.56,Ideal,E,SI1,60.9,56.0,1698,5.35,5.32,3.25
4489,0.47,Ideal,H,IF,61.9,56.0,1865,4.99,5.02,3.1
4490,0.31,Premium,G,VVS2,61.5,58.0,707,4.31,4.34,2.66
4491,0.31,Premium,I,VS1,62.6,59.0,628,4.33,4.29,2.7
4492,1.57,Ideal,J,VVS2,61.4,57.0,9346,7.45,7.5,4.59
4493,0.7,Very Good,E,SI2,60.8,57.0,2324,5.66,5.72,3.46
4494,0.9,Premium,G,VS2,59.6,61.0,4022,6.25,6.2,3.71
4495,0.73,Ideal,D,SI2,61.8,57.0,2671,5.75,5.78,3.56
4496,0.52,Very Good,G,VS1,61.2,57.0,1420,5.17,5.23,3.18
4497,0.51,Premium,H,VVS2,60.8,61.0,1749,5.12,5.08,3.1
4498,0.4,Premium,H,VS1,62.7,58.5,793,4.7,4.74,2.96
4499,0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48
4500,0.3,Premium,G,VVS1,62.1,56.0,1013,4.31,4.29,2.67
4501,1.0,Very Good,D,SI1,62.1,61.0,5390,6.3,6.32,3.92
4502,1.51,Ideal,J,SI1,61.4,57.0,8049,7.38,7.43,4.55
4503,0.9,Very Good,H,VS2,62.0,57.0,4155,6.1,6.16,3.8
4504,1.46,Ideal,G,VS2,62.3,56.0,10302,7.28,7.2,4.51
4505,0.3,Ideal,G,IF,62.1,54.0,863,4.3,4.33,2.68
4506,0.51,Ideal,G,VS1,60.4,59.0,1668,5.16,5.21,3.13
4507,0.35,Ideal,H,IF,61.5,57.0,868,4.55,4.58,2.8
4508,2.54,Ideal,G,SI2,62.5,55.0,14421,8.75,8.69,5.45
4509,1.91,Good,I,SI2,62.8,58.0,10937,7.82,7.89,4.93
4510,0.42,Very Good,J,VS2,60.9,58.0,723,4.81,4.85,2.94
4511,0.5,Ideal,G,SI2,61.2,56.0,1011,5.13,5.17,3.15
4512,1.12,Good,J,SI1,63.7,61.0,3951,6.54,6.5,4.15
4513,0.5,Premium,H,SI1,58.7,59.0,1091,5.15,5.11,3.01
4514,0.57,Ideal,H,SI1,62.1,57.0,1247,5.32,5.3,3.3
4515,0.7,Premium,E,SI1,60.0,59.0,2753,5.75,5.79,3.46
4516,0.34,Premium,G,VS2,61.2,59.0,596,4.43,4.49,2.73
4517,0.34,Ideal,E,SI2,62.0,56.0,612,4.48,4.45,2.77
4518,0.39,Premium,G,VS1,62.4,57.0,1097,4.68,4.62,2.9
4519,0.32,Premium,G,VVS2,61.6,60.0,730,4.37,4.4,2.7
4520,0.7,Very Good,G,SI1,63.0,59.0,2276,5.64,5.67,3.56
4521,0.39,Premium,G,VVS1,60.4,59.0,1095,4.72,4.75,2.86
4522,0.79,Very Good,G,SI2,63.4,60.0,1809,5.83,5.77,3.68
4523,1.01,Fair,D,VS2,65.6,61.0,6176,6.21,6.16,4.06
4524,0.41,Premium,E,VS1,60.0,58.0,1079,4.8,4.83,2.89
4525,0.36,Ideal,G,SI1,61.8,55.0,725,4.58,4.61,2.84
4526,0.86,Ideal,I,VS2,62.1,57.0,3121,6.1,6.07,3.78
4527,0.53,Very Good,F,SI1,60.9,56.0,1291,5.21,5.23,3.18
4528,0.3,Ideal,G,IF,62.2,55.0,844,4.3,4.32,2.68
4529,1.19,Very Good,I,SI1,63.2,58.0,4665,6.82,6.7,4.27
4530,0.93,Good,I,VS2,58.2,60.0,3946,6.41,6.48,3.75
4531,1.67,Ideal,F,VS2,61.8,57.0,17351,7.62,7.58,4.7
4532,0.91,Very Good,G,SI1,60.2,58.0,4429,6.29,6.31,3.79
4533,0.8,Ideal,F,VS2,62.7,54.0,3429,5.91,5.95,3.72
4534,0.27,Very Good,D,VS1,59.9,58.0,470,4.17,4.24,2.52
4535,1.5,Premium,E,SI1,61.4,59.0,11638,7.41,7.24,4.5
4536,1.53,Premium,F,SI2,62.6,57.0,9716,7.37,7.33,4.6
4537,1.22,Premium,D,SI1,62.3,60.0,5739,6.84,6.8,4.25
4538,2.05,Premium,G,SI1,61.6,59.0,15291,8.2,8.16,5.04
4539,0.49,Premium,F,SI1,58.7,60.0,1179,5.2,5.15,3.04
4540,1.2,Premium,G,SI1,62.7,58.0,6451,6.71,6.66,4.19
4541,1.07,Ideal,G,VS2,62.2,57.0,6355,6.53,6.55,4.07
4542,0.32,Premium,G,VS1,61.3,62.0,828,4.42,4.39,2.7
4543,1.01,Very Good,D,VVS2,60.2,58.0,9965,6.51,6.57,3.94
4544,0.44,Ideal,H,VVS1,61.1,57.0,1124,4.87,4.92,2.99
4545,1.53,Ideal,H,I1,62.3,56.0,6477,7.38,7.34,4.59
4546,1.01,Premium,H,VS2,61.3,59.0,5166,6.41,6.45,3.94
4547,0.9,Very Good,D,SI2,59.8,53.0,3632,6.2,6.25,3.72
4548,1.61,Premium,H,SI1,60.8,56.0,11169,7.61,7.58,4.62
4549,0.5,Good,F,SI1,62.5,60.0,1223,5.07,5.11,3.18
4550,0.5,Premium,G,SI1,62.9,59.0,1286,5.09,5.06,3.19
4551,0.3,Premium,G,VS1,62.4,58.0,776,4.24,4.22,2.64
4552,0.36,Premium,I,VS1,62.0,59.0,568,4.53,4.6,2.83
4553,0.56,Ideal,J,VS2,61.7,54.0,1094,5.31,5.36,3.29
4554,0.32,Premium,D,SI1,60.4,58.0,589,4.44,4.47,2.69
4555,0.31,Premium,I,SI1,62.3,59.0,523,4.32,4.29,2.68
4556,1.18,Very Good,E,SI2,62.5,60.0,5088,6.7,6.74,4.2
4557,1.26,Premium,F,SI1,62.3,58.0,6915,6.89,6.84,4.28
4558,0.51,Ideal,G,VVS2,61.8,56.0,2197,5.11,5.15,3.16
4559,0.72,Very Good,G,VS2,62.5,59.0,2728,5.69,5.71,3.56
4560,2.0,Ideal,H,SI2,61.5,57.0,12587,8.04,8.0,4.93
4561,2.08,Ideal,H,SI2,61.5,57.0,15065,8.26,8.2,5.06
4562,0.42,Premium,H,SI1,60.9,58.0,700,4.84,4.85,2.95
4563,1.53,Ideal,H,SI1,62.3,57.0,10153,7.41,7.36,4.6
4564,1.09,Ideal,G,VVS2,61.5,55.0,8057,6.66,6.61,4.08
4565,1.0,Very Good,H,SI2,63.4,61.0,3920,6.33,6.29,4.0
4566,1.26,Premium,J,SI2,62.7,58.0,5038,6.95,6.9,4.34
4567,0.31,Premium,H,VVS1,61.8,58.0,907,4.34,4.3,2.67
4568,1.0,Ideal,E,VS2,61.7,54.0,6859,6.41,6.46,3.97
4569,1.26,Ideal,G,VS1,62.2,54.0,10371,6.89,6.98,4.31
4570,0.71,Fair,G,VS2,57.0,66.0,2623,5.83,5.81,3.32
4571,0.31,Ideal,G,VVS1,61.9,55.0,816,4.3,4.36,2.68
4572,0.38,Premium,I,SI1,60.5,58.0,581,4.67,4.72,2.84
4573,0.26,Ideal,H,VS1,62.2,55.0,482,4.12,4.14,2.57
4574,1.0,Good,I,VVS1,56.5,62.0,4445,6.58,6.55,3.71
4575,0.7,Very Good,H,VS2,63.6,56.0,2312,5.6,5.63,3.57
4576,0.3,Ideal,G,IF,62.0,55.0,863,4.33,4.35,2.69
4577,0.51,Ideal,I,VS1,62.0,57.0,1376,5.1,5.13,3.17
4578,1.7,Very Good,F,VS2,60.8,60.0,17597,7.65,7.68,4.66
4579,1.26,Very Good,H,VS2,63.8,52.0,7567,6.89,6.84,4.38
4580,0.73,Ideal,H,IF,62.3,55.0,3785,5.77,5.79,3.6
4581,1.04,Very Good,D,VS1,60.8,58.0,6915,6.5,6.53,3.96
4582,0.57,Very Good,E,SI1,60.3,57.0,1608,5.34,5.4,3.24
4583,0.31,Very Good,E,SI1,58.7,60.0,507,4.45,4.48,2.62
4584,5.01,Fair,J,I1,65.5,59.0,18018,10.74,10.54,6.98
4585,0.43,Premium,H,SI1,59.0,58.0,919,4.96,4.93,2.92
4586,0.52,Ideal,G,VS2,62.0,55.0,1577,5.19,5.13,3.2
4587,0.8,Premium,G,IF,62.6,58.0,4268,5.89,5.93,3.7
4588,0.36,Ideal,G,VS1,60.6,57.0,761,4.58,4.62,2.79
4589,0.97,Premium,D,SI1,62.0,60.0,4721,6.25,6.29,3.89
4590,1.01,Premium,D,VS1,61.1,56.0,6733,6.43,6.36,3.91
4591,0.7,Ideal,G,VVS2,62.1,53.0,2895,5.71,5.75,3.56
4592,1.09,Premium,E,SI2,61.4,58.0,5127,6.67,6.63,4.08
4593,1.02,Very Good,H,SI1,60.3,59.0,4476,6.44,6.5,3.9
4594,0.35,Good,E,SI2,64.0,55.0,454,4.45,4.49,2.86
4595,0.71,Ideal,F,SI2,65.3,53.0,2445,5.64,5.58,3.67
4596,1.04,Very Good,I,SI1,62.5,62.0,4175,6.39,6.45,4.01
4597,0.74,Premium,D,SI1,60.6,60.0,2655,5.88,5.84,3.55
4598,1.01,Very Good,F,VVS2,61.1,58.0,9065,6.43,6.47,3.94
4599,2.02,Premium,F,SI2,61.3,58.0,13267,8.09,8.05,4.95
4600,0.51,Premium,F,SI2,58.1,59.0,1052,5.26,5.24,3.05
4601,0.5,Good,D,SI1,63.8,60.0,1433,5.03,5.0,3.2
4602,0.4,Premium,G,VS2,61.9,58.0,966,4.76,4.74,2.94
4603,0.35,Ideal,G,VVS2,62.1,56.0,1024,4.51,4.47,2.79
4604,0.59,Very Good,D,SI2,62.7,58.0,1419,5.32,5.37,3.35
4605,0.7,Very Good,D,SI1,62.1,56.0,2686,5.65,5.69,3.52
4606,0.5,Ideal,G,VVS2,61.2,56.0,1838,5.1,5.13,3.13
4607,0.32,Good,G,VS2,63.1,57.0,561,4.3,4.35,2.73
4608,1.01,Good,F,IF,62.7,59.0,9451,6.3,6.42,3.99
4609,1.16,Very Good,D,SI2,62.5,60.0,5044,6.64,6.7,4.17
4610,0.7,Ideal,G,SI1,62.1,58.0,2276,5.67,5.69,3.53
4611,0.36,Very Good,F,SI1,61.9,59.0,600,4.51,4.54,2.8
4612,1.01,Very Good,H,SI1,60.2,60.0,4617,6.5,6.48,3.91
4613,0.51,Ideal,G,VS2,62.7,57.0,1546,5.12,5.05,3.19
4614,1.01,Good,E,SI2,63.9,58.0,3737,6.37,6.31,4.05
4615,0.72,Ideal,I,VS2,61.8,55.0,2918,5.75,5.79,3.56
4616,1.2,Ideal,D,VS2,61.4,55.0,9424,6.78,6.87,4.19
4617,1.1,Premium,G,SI2,61.4,59.0,4650,6.71,6.59,4.08
4618,1.4,Very Good,I,VS1,61.6,59.0,7584,7.17,7.22,4.43
4619,0.33,Premium,E,SI1,59.1,58.0,743,4.56,4.51,2.68
4620,1.25,Ideal,J,SI1,62.4,57.0,5252,6.86,6.92,4.3
4621,0.38,Ideal,E,VS1,62.1,57.0,1097,4.65,4.62,2.88
4622,0.73,Very Good,E,SI2,59.3,57.0,2395,5.88,5.95,3.51
4623,2.02,Ideal,G,VS2,62.0,57.0,18700,8.1,8.05,5.01
4624,0.33,Very Good,D,SI1,62.8,56.0,608,4.39,4.43,2.77
4625,1.01,Very Good,E,SI1,60.0,60.0,5556,6.45,6.49,3.88
4626,1.2,Premium,H,VS1,61.7,59.0,4838,6.78,6.74,4.17
4627,0.97,Premium,H,SI1,61.9,60.0,4172,6.37,6.3,3.92
4628,0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48
4629,0.23,Good,E,VS1,64.3,59.0,373,3.84,3.87,2.48
4630,0.4,Very Good,G,VS1,61.5,57.0,871,4.73,4.77,2.92
4631,1.08,Ideal,I,SI2,62.3,57.0,4130,6.56,6.61,4.1
4632,0.35,Very Good,H,SI2,63.2,61.0,551,4.49,4.47,2.83
4633,0.32,Ideal,G,VS2,61.4,55.0,561,4.4,4.46,2.72
4634,0.9,Good,E,VS2,64.0,58.0,4278,6.02,6.07,3.87
4635,1.21,Good,J,SI2,63.7,55.0,4192,6.75,6.81,4.32
4636,0.4,Premium,H,SI1,61.9,57.0,969,4.75,4.71,2.93
4637,0.3,Ideal,H,SI1,63.0,54.0,540,4.3,4.27,2.7
4638,0.82,Ideal,E,SI2,60.9,56.0,3328,6.06,6.12,3.71
4639,0.4,Ideal,G,VS2,62.5,54.0,792,4.72,4.75,2.96
4640,2.18,Very Good,I,SI2,58.9,60.0,15684,8.51,8.55,5.02
4641,0.7,Very Good,E,SI1,61.7,62.0,2569,5.64,5.68,3.49
4642,1.52,Premium,D,SI2,59.8,60.0,10433,7.42,7.5,4.46
4643,1.12,Ideal,G,SI1,62.0,55.0,5551,6.68,6.65,4.13
4644,0.79,Premium,H,SI1,60.1,60.0,2498,6.04,5.98,3.61
4645,1.01,Fair,F,VS2,65.2,52.0,5090,6.31,6.29,4.11
4646,0.91,Premium,I,SI1,58.4,55.0,2700,6.34,6.32,3.7
4647,1.53,Ideal,H,VVS2,61.9,57.0,12848,7.39,7.35,4.56
4648,1.52,Fair,I,I1,67.7,58.0,3745,7.07,7.0,4.76
4649,0.65,Ideal,F,SI1,61.4,58.0,1841,5.56,5.5,3.39
4650,0.73,Ideal,I,VS1,61.5,55.0,2908,5.8,5.84,3.58
4651,0.75,Very Good,E,SI2,60.2,57.0,2719,5.89,5.94,3.56
4652,1.5,Premium,G,SI2,58.5,62.0,8736,7.44,7.4,4.34
4653,1.01,Premium,H,VS2,62.4,58.0,4769,6.42,6.36,3.99
4654,1.17,Ideal,G,VS1,59.4,57.0,7155,6.93,6.87,4.1
4655,0.41,Good,E,SI1,63.6,58.0,904,4.74,4.72,3.01
4656,0.59,Very Good,D,SI1,62.3,54.0,1816,5.38,5.41,3.36
4657,1.0,Premium,E,SI2,62.0,59.0,4077,6.43,6.3,3.95
4658,1.12,Premium,E,SI2,62.4,58.0,4277,6.59,6.64,4.13
4659,1.01,Premium,F,SI2,59.6,59.0,4317,6.59,6.52,3.91
4660,1.66,Premium,D,SI1,62.0,59.0,14354,7.6,7.55,4.7
4661,1.24,Premium,I,VS2,61.2,58.0,4858,6.94,6.89,4.23
4662,1.01,Fair,D,VS2,65.3,58.0,6366,6.29,6.24,4.09
4663,0.31,Ideal,I,SI2,62.0,54.1,372,4.32,4.35,2.69
4664,0.31,Very Good,I,VS1,62.8,57.0,489,4.28,4.32,2.7
4665,0.92,Premium,D,SI2,62.5,59.0,3550,6.24,6.2,3.89
4666,0.25,Very Good,H,VVS2,63.3,54.0,467,3.98,4.02,2.52
4667,0.62,Fair,D,SI2,64.6,57.0,1410,5.39,5.33,3.46
4668,2.01,Ideal,F,SI2,62.9,56.0,13201,8.05,7.9,5.02
4669,0.33,Ideal,G,IF,61.6,55.0,984,4.48,4.51,2.77
4670,0.3,Good,J,VVS2,57.4,61.0,483,4.41,4.44,2.54
4671,0.71,Very Good,E,SI1,60.3,58.0,2570,5.8,5.85,3.51
4672,0.31,Ideal,D,SI1,61.7,57.0,732,4.38,4.34,2.69
4673,1.02,Very Good,E,VVS1,62.2,57.0,10672,6.4,6.59,4.04
4674,1.23,Premium,F,VS1,61.3,60.0,9319,6.9,6.94,4.24
4675,0.84,Very Good,E,SI1,58.8,58.0,3453,6.16,6.28,3.66
4676,0.32,Ideal,G,VS2,61.8,57.0,561,4.38,4.42,2.72
4677,1.01,Ideal,E,SI2,61.6,58.0,4668,6.45,6.5,3.99
4678,0.3,Ideal,H,VS2,61.9,57.0,491,4.28,4.31,2.66
4679,1.01,Good,E,VS2,63.7,56.0,6221,6.27,6.29,4.0
4680,0.91,Ideal,G,SI1,62.0,54.0,4453,6.23,6.26,3.87
4681,1.24,Ideal,F,VS2,62.0,57.0,9478,6.83,6.89,4.25
4682,1.06,Premium,E,SI1,63.0,56.0,4689,6.54,6.45,4.09
4683,0.33,Premium,E,SI1,61.1,58.0,743,4.47,4.43,2.72
4684,1.32,Ideal,G,VS2,62.4,57.0,8728,7.05,6.98,4.38
4685,0.81,Ideal,G,IF,62.4,54.0,4751,5.93,5.99,3.72
4686,0.7,Very Good,G,VVS1,62.4,59.0,3208,5.63,5.66,3.52
4687,1.0,Very Good,F,VS2,61.9,59.0,5505,6.34,6.38,3.94
4688,1.03,Premium,E,VS1,61.5,58.0,7614,6.55,6.43,3.99
4689,0.7,Ideal,G,VVS2,60.3,57.0,3191,5.75,5.83,3.49
4690,1.0,Ideal,E,SI1,61.9,56.0,5458,6.37,6.45,3.97
4691,1.1,Good,I,SI1,63.7,59.0,4497,6.56,6.5,4.16
4692,1.01,Very Good,D,VS1,63.1,59.0,8101,6.37,6.34,4.01
4693,1.04,Premium,H,SI1,62.1,56.0,4316,6.48,6.41,4.01
4694,0.58,Ideal,D,SI2,63.4,57.0,1356,5.29,5.34,3.37
4695,1.02,Very Good,F,VVS1,62.4,58.0,8990,6.38,6.41,3.99
4696,1.24,Ideal,E,VS2,62.0,57.0,9240,6.87,6.9,4.27
4697,0.32,Ideal,G,VVS2,61.8,55.0,936,4.43,4.41,2.73
4698,0.31,Ideal,D,SI2,62.3,56.0,593,4.38,4.35,2.72
4699,0.3,Premium,I,VVS1,62.5,60.0,709,4.27,4.24,2.66
4700,1.14,Ideal,F,SI2,61.7,56.0,4591,6.71,6.67,4.13
4701,1.0,Ideal,F,VS2,62.0,55.0,5844,6.43,6.48,4.0
4702,1.6,Very Good,H,VS1,61.2,58.6,12378,7.48,7.63,4.62
4703,0.32,Ideal,H,IF,61.4,55.0,814,4.42,4.47,2.73
4704,0.36,Very Good,H,VVS2,61.3,55.0,668,4.58,4.64,2.81
4705,0.52,Ideal,F,SI2,61.8,55.0,1059,5.17,5.21,3.21
4706,1.01,Premium,H,SI1,60.4,60.0,4977,6.55,6.47,3.93
4707,0.62,Very Good,H,SI1,60.1,61.0,1446,5.55,5.59,3.35
4708,0.3,Ideal,G,VS1,63.1,55.0,624,4.25,4.31,2.7
4709,1.12,Ideal,G,VS1,61.6,55.0,7716,6.69,6.72,4.13
4710,0.51,Ideal,E,SI1,62.7,55.0,1546,5.1,5.07,3.19
4711,0.36,Premium,G,IF,62.5,60.0,1148,4.53,4.49,2.82
4712,0.6,Fair,F,SI1,55.3,63.0,1367,5.67,5.61,3.12
4713,0.7,Ideal,F,SI1,62.8,56.0,2528,5.63,5.68,3.55
4714,0.71,Very Good,G,SI1,61.2,61.0,2266,5.66,5.71,3.48
4715,0.59,Ideal,D,SI2,62.4,58.0,1419,5.35,5.39,3.35
4716,0.34,Very Good,G,VVS1,61.7,56.0,819,4.49,4.51,2.78
4717,0.3,Very Good,G,IF,63.5,55.0,956,4.28,4.26,2.71
4718,0.42,Ideal,G,VS2,62.2,54.0,847,4.8,4.82,2.99
4719,1.01,Premium,E,VS2,62.0,59.0,6666,6.44,6.46,4.0
4720,1.22,Ideal,H,VS2,62.0,58.0,7623,6.81,6.86,4.24
4721,0.32,Ideal,G,VVS2,62.4,54.0,936,4.38,4.37,2.73
4722,0.32,Good,D,SI1,63.8,56.0,589,4.33,4.35,2.77
4723,1.05,Premium,H,VS2,59.0,59.0,5468,6.71,6.68,3.95
4724,1.7,Very Good,I,VS2,63.0,58.0,10935,7.52,7.65,4.78
4725,1.16,Ideal,H,SI1,62.2,55.0,5554,6.79,6.74,4.21
4726,1.01,Good,G,SI1,63.9,57.0,4672,6.37,6.3,4.05
4727,0.7,Good,F,SI1,62.8,58.0,2470,5.6,5.65,3.53
4728,1.0,Fair,D,VVS2,61.1,57.0,10562,6.37,6.3,3.87
4729,1.24,Premium,E,I1,61.1,62.0,3528,6.91,6.86,4.21
4730,0.9,Very Good,G,SI2,63.2,58.0,3787,6.05,6.1,3.84
4731,1.04,Very Good,F,SI2,60.0,61.0,4427,6.5,6.57,3.92
4732,0.31,Ideal,E,SI1,61.1,56.0,660,4.39,4.41,2.69
4733,0.55,Ideal,F,SI2,62.4,56.0,1263,5.26,5.22,3.27
4734,0.3,Fair,D,SI2,64.6,54.0,536,4.29,4.25,2.76
4735,1.38,Ideal,F,VVS1,62.9,56.0,15968,7.04,7.1,4.45
4736,0.25,Ideal,G,VVS2,62.0,54.0,525,4.05,4.08,2.52
4737,0.7,Premium,G,SI1,60.5,57.0,2415,5.75,5.68,3.46
4738,1.13,Ideal,H,VS2,62.0,57.0,5885,6.7,6.66,4.14
4739,2.36,Ideal,H,SI2,61.8,56.0,14146,8.57,8.53,5.28
4740,0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41
4741,0.91,Very Good,H,VS2,63.7,57.0,3924,6.1,6.12,3.89
4742,0.3,Very Good,H,VS1,61.9,55.0,541,4.32,4.37,2.69
